Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Guiding log revisions by learning from software evolution history","Empirical Software Engineering","","25","3","10.1007/s10664-019-09757-y","Shanshan LiXu NiuZhouyang JiaXiangke LiaoJi WangTao Li","2020","http://link.springer.com/article/10.1007/s10664-019-09757-y","Article"
"Log4Perf: suggesting and updating logging locations for web-based systems’ performance monitoring","Empirical Software Engineering","","25","1","10.1007/s10664-019-09748-z","Kundi YaoGuilherme B. de PáduaWeiyi ShangCatalin SporeaAndrei TomaSarah Sajedi","2020","http://link.springer.com/article/10.1007/s10664-019-09748-z","Article"
"A study of the performance of general compressors on log files","Empirical Software Engineering","","25","5","10.1007/s10664-020-09822-x","Kundi YaoHeng LiWeiyi ShangAhmed E. Hassan","2020","http://link.springer.com/article/10.1007/s10664-020-09822-x","Article"
"Mining reading patterns from eye-tracking data: method and demonstration","Software and Systems Modeling","","19","2","10.1007/s10270-019-00759-4","Constantina IoannouIndira NurdianiAndrea BurattinBarbara Weber","2020","http://link.springer.com/article/10.1007/s10270-019-00759-4","Article"
"World of code: enabling a research workflow for mining and analyzing the universe of open source VCS data","Empirical Software Engineering","","26","2","10.1007/s10664-020-09905-9","Yuxing MaTapajit DeyChris BogartSadika AmreenMarat ValievAdam TutkoDavid KennardRussell ZaretzkiAudris Mockus","2021","http://link.springer.com/article/10.1007/s10664-020-09905-9","Article"
"Demystifying the challenges and benefits of analyzing user-reported logs in bug reports","Empirical Software Engineering","","26","1","10.1007/s10664-020-09893-w","An Ran ChenTse-Hsun (Peter) ChenShaowei Wang","2021","http://link.springer.com/article/10.1007/s10664-020-09893-w","Article"
"An empirical analysis of error propagation in critical software systems","Empirical Software Engineering","","25","4","10.1007/s10664-020-09801-2","Marcello CinqueRaffaele Della CorteAntonio Pecchia","2020","http://link.springer.com/article/10.1007/s10664-020-09801-2","Article"
"A feature location approach for mapping application features extracted from crowd-based screencasts to source code","Empirical Software Engineering","","25","6","10.1007/s10664-020-09874-z","Parisa MoslehiBram AdamsJuergen Rilling","2020","http://link.springer.com/article/10.1007/s10664-020-09874-z","Article"
"Architecture-Driven Development of an Electronic Health Record Considering the SOAQM Quality Model","SN Computer Science","","1","3","10.1007/s42979-020-00150-x","Joyce M. S. FrançaAdemir Almeida da Costa JuniorMichel S. Soares","2020","http://link.springer.com/article/10.1007/s42979-020-00150-x","Article"
"Analysing Time-Stamped Co-Editing Networks in Software Development Teams using git2net","Empirical Software Engineering","","26","4","10.1007/s10664-020-09928-2","Christoph GoteIngo ScholtesFrank Schweitzer","2021","http://link.springer.com/article/10.1007/s10664-020-09928-2","Article"
"The RALph miner for automated discovery and verification of resource-aware process models","Software and Systems Modeling","","19","6","10.1007/s10270-020-00820-7","Cristina CabanillasLars AckermannStefan SchönigChristian SturmJan Mendling","2020","http://link.springer.com/article/10.1007/s10270-020-00820-7","Article"
"Release synchronization in software ecosystems","Empirical Software Engineering","","26","3","10.1007/s10664-020-09929-1","Armstrong FoundjemBram Adams","2021","http://link.springer.com/article/10.1007/s10664-020-09929-1","Article"
"An empirical investigation into merge conflicts and their effect on software quality","Empirical Software Engineering","","25","1","10.1007/s10664-019-09735-4","Caius BrindescuIftekhar AhmedCarlos JensenAnita Sarma","2020","http://link.springer.com/article/10.1007/s10664-019-09735-4","Article"
"CHECKSUM: tracking changes and measuring contributions in cooperative systems modeling","Software and Systems Modeling","","","","10.1007/s10270-020-00840-3","Pierre A. AkikiHoda W. Maalouf","2021","http://link.springer.com/article/10.1007/s10270-020-00840-3","Article"
"Connecting software build with maintaining consistency between models: towards sound, optimal, and flexible building from megamodels","Software and Systems Modeling","","19","4","10.1007/s10270-020-00788-4","Perdita Stevens","2020","http://link.springer.com/article/10.1007/s10270-020-00788-4","Article"
"How different are different diff algorithms in Git?","Empirical Software Engineering","","25","1","10.1007/s10664-019-09772-z","Yusuf Sulistyo NugrohoHideaki HataKenichi Matsumoto","2020","http://link.springer.com/article/10.1007/s10664-019-09772-z","Article"
"A privacy and security analysis of early-deployed COVID-19 contact tracing Android apps","Empirical Software Engineering","","26","3","10.1007/s10664-020-09934-4","Majid HatamianSamuel WairimuNurul MomenLothar Fritsch","2021","http://link.springer.com/article/10.1007/s10664-020-09934-4","Article"
"Every build you break: developer-oriented assistance for build failure resolution","Empirical Software Engineering","","25","3","10.1007/s10664-019-09765-y","Carmine VassalloSebastian ProkschTimothy ZempHarald C. Gall","2020","http://link.springer.com/article/10.1007/s10664-019-09765-y","Article"
"MSRBot: Using bots to answer questions from software repositories","Empirical Software Engineering","","25","3","10.1007/s10664-019-09788-5","Ahmad AbdellatifKhaled BadranEmad Shihab","2020","http://link.springer.com/article/10.1007/s10664-019-09788-5","Article"
"Software development with feature toggles: practices used by practitioners","Empirical Software Engineering","","26","1","10.1007/s10664-020-09901-z","Rezvan Mahdavi-HezavehJacob DremannLaurie Williams","2021","http://link.springer.com/article/10.1007/s10664-020-09901-z","Article"
"Convoider: A Concurrency Bug Avoider Based on Transparent Software Transactional Memory","International Journal of Parallel Programming","","48","1","10.1007/s10766-019-00642-1","Zhen YuYu ZuoYong Zhao","2020","http://link.springer.com/article/10.1007/s10766-019-00642-1","Article"
"Discovering configuration workflows from existing logs using process mining","Empirical Software Engineering","","26","1","10.1007/s10664-020-09911-x","Belén Ramos-GutiérrezÁngel Jesús Varela-VacaJosé A. GalindoMaría Teresa Gómez-LópezDavid Benavides","2021","http://link.springer.com/article/10.1007/s10664-020-09911-x","Article"
"An improved text classification modelling approach to identify security messages in heterogeneous projects","Software Quality Journal","","","","10.1007/s11219-020-09546-7","Tosin Daniel OyetoyanPatrick Morrison","2021","http://link.springer.com/article/10.1007/s11219-020-09546-7","Article"
"A longitudinal study of static analysis warning evolution and the effects of PMD on software quality in Apache open source projects","Empirical Software Engineering","","25","6","10.1007/s10664-020-09880-1","Alexander TrautschSteffen HerboldJens Grabowski","2020","http://link.springer.com/article/10.1007/s10664-020-09880-1","Article"
